"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2002","2002",,,"0","Units",,,9.70947363164203,,
"AUS","Australia","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2003","2003",,,"0","Units",,,10.1169633431238,,
"AUS","Australia","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2004","2004",,,"0","Units",,,9.78239775535007,,
"AUS","Australia","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2005","2005",,,"0","Units",,,9.47472476741969,,
"AUS","Australia","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2006","2006",,,"0","Units",,,9.3229019513286,,
"AUS","Australia","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2007","2007",,,"0","Units",,,9.16587177751371,,
"AUS","Australia","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2008","2008",,,"0","Units",,,10.8037567105373,,
"AUS","Australia","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2009","2009",,,"0","Units",,,9.33576491437592,,
"AUS","Australia","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2010","2010",,,"0","Units",,,9.21290224209422,,
"AUS","Australia","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2011","2011",,,"0","Units",,,9.42480549638603,,
"AUS","Australia","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2012","2012",,,"0","Units",,,9.56429932298688,,
"AUS","Australia","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2013","2013",,,"0","Units",,,9.78492740205063,,
"AUS","Australia","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2014","2014",,,"0","Units",,,10.1399169658555,,
"AUS","Australia","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2015","2015",,,"0","Units",,,10.18764546539,,
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2000","2000",,,"0","Units",,,3.86918152030441,,
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2001","2001",,,"0","Units",,,3.1799773622823,,
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2002","2002",,,"0","Units",,,3.62067630894183,,
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2003","2003",,,"0","Units",,,3.21209264318355,,
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2004","2004",,,"0","Units",,,3.34662837328302,,
